id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,56374.0,1130725561371,1,1130725561371,26528492678.0,57223.0,55746.0,-720.4428115347037,-1.26185,-14584676950.182861,-1.27343,20057131.0,20057131.0,21000000.0,107662.0,-47.63817,2025-10-06T18:57:42.558Z,51.3,109793.48205,2013-07-05T00:00:00.000Z,,2026-07-16T14:12:07.423Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1648.56,198869506795,2,198869506795,9415798121.0,1690.43,1631.78,-39.66695171641982,-2.34962,-4906495807.376862,-2.40779,120682912.9279759,120682912.9279759,,4229.76,-61.02482,2025-08-24T18:41:03.538Z,0.381455,432075.79271,2015-10-20T00:00:00.000Z,"{'times': 38.093577717093204, 'currency': 'btc', 'percentage': 3809.3577717093203}",2026-07-16T14:12:08.584Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.872624,160740693647,3,165639563181,39983853328.0,0.873954,0.870347,-0.001287145781585841,-0.14729,-366391000.1383667,-0.22742,184204791269.4221,189818772518.2162,,1.17,-25.14306,2025-01-25T16:51:57.989Z,0.533096,63.69339,2015-03-02T00:00:00.000Z,,2026-07-16T14:12:00.869Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,505.51,67300759424,4,67300759424,493829472.0,509.54,501.53,-4.0253744570641175,-0.79001,-567944536.8115997,-0.83683,133166081.3,133166081.3,200000000.0,1182.86,-57.26355,2025-10-13T08:41:24.131Z,0.03359941,1504423.0133,2017-10-19T00:00:00.000Z,,2026-07-16T14:12:00.760Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602,0.873257,63830352248,5,63839664603,9816068520.0,0.87459,0.870858,-0.001301073044083778,-0.14877,-16716709.913711548,-0.02618,73096010209.27023,73106674352.01607,,1.043,-16.23509,2022-09-28T00:00:00.000Z,0.730265,19.58755,2021-05-19T13:14:05.611Z,,2026-07-16T14:12:08.323Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.969333,60539653111,6,96901468537,961006324.0,0.985554,0.960073,-0.01622117801300038,-1.64589,-1024452944.4469528,-1.66404,62466503703.0,99985639695.0,100000000000.0,3.28,-70.49021,2025-01-16T17:00:22.630Z,0.00194619,49706.748,2013-08-16T00:00:00.000Z,,2026-07-16T14:12:04.216Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,66.83,38916630872,7,42120509901,1593385721.0,68.43,66.08,-1.601778337652462,-2.34066,-939305418.9130859,-2.35675,582409267.1992877,630357118.6858,,285.6,-76.59983,2025-01-19T11:15:27.957Z,0.46316,14329.37247,2020-05-11T19:35:23.449Z,,2026-07-16T14:12:04.156Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/photo_2026-04-13_09-59-16.png?1776048311,0.282046,26758675650,8,26758681876,336303525.0,0.286429,0.281766,-0.004196568156037195,-1.46609,-399104716.573082,-1.46958,94868328763.8456,94868350837.0681,,0.410308,-31.25997,2024-12-04T00:10:40.323Z,0.00154713,18130.32809,2017-11-12T00:00:00.000Z,"{'times': 168.97734355860337, 'currency': 'usd', 'percentage': 16897.734355860335}",2026-07-16T14:12:07.925Z
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,0.90562,18096802483,9,18096802483,24571608.0,0.90655,0.901959,-0.000673063829500054,-0.07427,-13449690.203147888,-0.07427,19982785604.648,19982785604.648,,0.917658,-1.34142,2026-06-30T05:05:51.045Z,0.134665,572.29733,2025-10-31T14:57:19.271Z,,2026-07-16T14:11:50.067Z
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,57.46,12779996320,10,54884496248,348664076.0,60.06,56.97,-2.5826246002472644,-4.30113,-576698472.1822681,-4.31767,222445714.0741414,955307079.4341414,1000000000.0,66.13,-13.10111,2026-06-16T13:02:04.375Z,3.6,1494.78831,2024-11-29T09:30:30.871Z,,2026-07-16T14:12:04.762Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.064357,9979921829,11,9979977812,426598679.0,0.065412,0.063418,-0.001000177709097341,-1.53032,-154924979.39134598,-1.52864,155093536383.7052,155094406383.7052,,0.601466,-89.29996,2021-05-08T05:08:23.458Z,7.662e-05,83899.09773,2015-05-06T00:00:00.000Z,,2026-07-16T14:12:04.413Z
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.873158,8690604032,12,8690604032,91721927.0,0.874533,0.870866,-0.001322790617924507,-0.15127,-50002636.45852852,-0.57207,9953066429.097145,9953066429.097145,,0.99963,-12.68043,2026-04-02T07:35:41.781Z,0.828196,5.39449,2026-01-27T20:50:33.137Z,,2026-07-16T14:12:03.832Z
rain,rain,Rain,https://coin-images.coingecko.com/coins/images/69134/large/Rain_logo_1_.png?1762952191,0.01248445,8262861847,13,14355075139,22755284.0,0.01292205,0.01245023,-0.00043760626424952,-3.38651,-289644957.69708633,-3.38667,661852469702.3884,1149836716300.468,1150000000000.0,0.01419089,-12.19665,2026-06-24T11:00:51.778Z,0.00189301,558.21494,2025-09-14T08:56:57.416Z,,2026-07-16T14:11:50.888Z
zcash,zec,Zcash,https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740,485.36,8146010190,14,8146765946,430221894.0,508.09,475.22,-22.343992856040018,-4.40096,-378940181.2754946,-4.44507,16791065.7905448,16792623.6030448,21000000.0,2876.86,-83.12869,2016-10-29T00:00:00.000Z,14.86,3166.20536,2024-07-05T04:22:29.321Z,,2026-07-16T14:12:04.581Z
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,8.57,7890441432,15,8448233611,402333.0,8.6,8.52,-0.006474985795655641,-0.07545,-6020013.663966179,-0.07624,920189350.9,985239504.0,,9.68,-11.55436,2025-03-02T17:40:34.261Z,0.715663,1096.87127,2019-12-31T12:19:48.870Z,,2026-07-16T14:11:52.887Z
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,49.28,5813008346,16,14481138172,68453274.0,50.1,48.76,-0.7464622324821022,-1.49219,-87974308.83443451,-1.49084,117961796.0,293861795.0,400000000.0,54.83,-10.26707,2025-12-10T20:36:19.030Z,2.85,1624.07802,2023-02-13T19:01:21.899Z,,2026-07-16T14:11:58.902Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.167228,5717119956,17,8361868496,188571660.0,0.167062,0.162013,0.00202169,1.22373,61078983.0,1.07989,34186882216.1508,50001786839.91257,,0.729104,-77.14765,2018-01-03T00:00:00.000Z,0.00043158,38506.44003,2015-03-05T00:00:00.000Z,,2026-07-16T14:11:53.517Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/Chainlink_Logo_500.png?1760023405,7.39,5527875898,18,7389220849,193488248.0,7.51,7.32,-0.07083418126237362,-0.94919,-55842346.30476093,-1.00009,748099970.424884,1000000000.0,1000000000.0,43.32,-82.93532,2021-05-10T00:13:57.214Z,0.125048,5811.17488,2017-11-29T00:00:00.000Z,,2026-07-16T14:12:04.741Z
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,290.94,5464242244,19,5464242244,83874228.0,291.64,285.02,0.908332,0.31318,17777842.0,0.32641,18778665.99319987,18778665.99319987,,685.48,-57.55674,2026-01-14T19:34:07.049Z,0.184652,157461.1293,2015-01-14T00:00:00.000Z,,2026-07-16T14:11:50.830Z
