id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,high_24h,low_24h,volatility_flag,z_score,volatility_flag_statistica
bitcoin,btc,Bitcoin,56374,1130725561371,1,26528492678,-1.26185,57223,55746,Normale,-0.09979094641270504,Normale
ethereum,eth,Ethereum,1648.56,198869506795,2,9415798121,-2.34962,1690.43,1631.78,Normale,-0.4564140581720395,Normale
tether,usdt,Tether,0.872624,160740693647,3,39983853328,-0.14729,0.873954,0.870347,Normale,0.26561521062645194,Normale
binancecoin,bnb,BNB,505.51,67300759424,4,493829472,-0.79001,509.54,501.53,Normale,0.05490080740705866,Normale
usd-coin,usdc,USDC,0.873257,63830352248,5,9816068520,-0.14877,0.87459,0.870858,Normale,0.2651299957323072,Normale
ripple,xrp,XRP,0.969333,60539653111,6,961006324,-1.64589,0.985554,0.960073,Normale,-0.22569765448523404,Normale
solana,sol,Solana,66.83,38916630872,7,1593385721,-2.34066,68.43,66.08,Normale,-0.4534765409750553,Normale
tron,trx,TRON,0.282046,26758675650,8,336303525,-1.46609,0.286429,0.281766,Normale,-0.16675060180467804,Normale
figure-heloc,figr_heloc,Figure Heloc,0.90562,18096802483,9,24571608,-0.07427,0.90655,0.901959,Normale,0.2895546643902684,Normale
hyperliquid,hype,Hyperliquid,57.46,12779996320,10,348664076,-4.30113,60.06,56.97,Normale,-1.0962125163290568,Normale
dogecoin,doge,Dogecoin,0.064357,9979921829,11,426598679,-1.53032,0.065412,0.063418,Normale,-0.1878082725147565,Normale
usds,usds,USDS,0.873158,8690604032,12,91721927,-0.15127,0.874533,0.870866,Normale,0.26431037597868434,Normale
rain,rain,Rain,0.01248445,8262861847,13,22755284,-3.38651,0.01292205,0.01245023,Normale,-0.7963562687056416,Normale
zcash,zec,Zcash,485.36,8146010190,14,430221894,-4.40096,508.09,475.22,Normale,-1.128941572330725,Normale
leo-token,leo,LEO Token,8.57,7890441432,15,402333,-0.07545,8.6,8.52,Normale,0.2891678038665584,Normale
whitebit,wbt,WhiteBIT Coin,49.28,5813008346,16,68453274,-1.49219,50.1,48.76,Normale,-0.17530743203250068,Normale
stellar,xlm,Stellar,0.167228,5717119956,17,188571660,1.22373,0.167062,0.162013,Normale,0.7151012404712562,Normale
chainlink,link,Chainlink,7.39,5527875898,18,193488248,-0.94919,7.51,7.32,Normale,0.0027139784543840514,Normale
monero,xmr,Monero,290.94,5464242244,19,83874228,0.31318,291.64,285.02,Normale,0.4165793338067389,Normale
cardano,ada,Cardano,0.143736,5357536401,20,233696807,-1.32022,0.145659,0.140716,Normale,-0.11892742842029154,Normale
canton-network,cc,Canton,0.117736,4601608271,21,12256517,-1.81121,0.12272,0.115366,Normale,-0.27989746955280637,Normale
dai,dai,Dai,0.873313,4060622458,22,144293151,-0.13799,0.874542,0.870723,Normale,0.26866419610992903,Normale
bitcoin-cash,bch,Bitcoin Cash,194.87,3908910994,23,164359386,-5.42665,206.05,192.16,Alta - Negativa,-1.4652118863680965,Normale
usd1-wlfi,usd1,USD1,0.872223,3774981830,24,767978659,-0.14121,0.873696,0.870025,Normale,0.26760852586726275,Normale
the-open-network,gram,Gram (prev. Toncoin),1.36,3697766948,25,24490761,-2.72909,1.4,1.35,Normale,-0.5808225013349458,Normale
ethena-usde,usde,Ethena USDe,0.873117,3501710381,26,68209953,-0.15555,0.874503,0.870888,Normale,0.26290718696048204,Normale
litecoin,ltc,Litecoin,39.14,3028083244,27,249117861,-1.74936,40.03,38.72,Normale,-0.25962007684817684,Normale
global-dollar,usdg,Global Dollar,0.875963,2768644503,28,209193607,0.0476,0.877528,0.871284,Normale,0.32950948813987546,Normale
sui,sui,Sui,0.656263,2659503623,29,203582900,-1.45229,0.665934,0.640539,Normale,-0.16222630076467992,Normale
hashnote-usyc,usyc,Circle USYC,0.990071,2629978732,30,92.08,null,null,null,Normale,null,Normale
hedera-hashgraph,hbar,Hedera,0.058771,2573291269,31,47526146,-1.09998,0.059733,0.058339,Normale,-0.046722206605132245,Normale
avalanche-2,avax,Avalanche,5.79,2498631909,32,121272868,-1.37042,5.88,5.7,Normale,-0.13538539307303854,Normale
paypal-usd,pyusd,PayPal USD,0.873265,2486720963,33,47183046,-0.13374,0.874553,0.870748,Normale,0.27005754969108786,Normale
near,near,NEAR Protocol,1.81,2354300773,34,143504679,-0.64687,1.82,1.75,Normale,0.10182895602048903,Normale
crypto-com-chain,cro,Cronos,0.050049,2306524461,35,6696135,2.31148,0.0499721,0.04844422,Normale,1.0717177952725616,Normale
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,0.873062,2278163239,36,null,-0.19171,0.874739,0.871126,Normale,0.251052206844081,Normale
shiba-inu,shib,Shiba Inu,0.00000364,2146405162,37,44128286,-3.02496,0.00000376,0.00000361,Normale,-0.677822859936704,Normale
tether-gold,xaut,Tether Gold,3487.34,2137230556,38,160648812,-1.71371,3548.15,3477.9,Normale,-0.24793229916151494,Normale
uniswap,uni,Uniswap,3.24,2026493702,39,160496672,1.33566,3.26,3.14,Normale,0.7517972560804589,Normale
ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,0.98803,1873512130,40,1706327,-0.52052,0.997789,0.982962,Normale,0.14325253836858826,Normale
bittensor,tao,Bittensor,172.23,1653066859,41,93186296,-1.40562,176.63,170.14,Normale,-0.1469256392040484,Normale
ondo-finance,ondo,Ondo,0.339211,1650875931,42,266141467,15.97245,0.341965,0.286659,Alta - Positiva,5.550438141532263,Anomalia positiva
world-liberty-financial,wlfi,World Liberty Financial,0.050652,1609309943,43,26892073,1.75833,0.050871,0.04925508,Normale,0.8903687285859682,Normale
pax-gold,paxg,PAX Gold,3483.88,1563957187,44,94275754,-1.7737,3546.79,3474.34,Normale,-0.267599894769449,Normale
okb,okb,OKB,70.82,1487050634,45,12108292,-1.63669,72,70.38,Normale,-0.22268145379190188,Normale
aster-2,aster,Aster,0.54575,1465627360,46,61662194,-1.577,0.554494,0.541349,Normale,-0.2031122125544025,Normale
memecore,m,MemeCore,1.073,1421722828,47,11447270,-4.79194,1.13,1.053,Normale,-1.257123544839311,Normale
htx-dao,htx,HTX DAO,0.00000158,1415166271,48,61146575,-1.04543,0.00000159,0.00000157,Normale,-0.028838103581081524,Normale
dexe,dexe,DeXe,29.82,1393893914,49,85331487,-7.35976,33.14,28.54,Alta - Negativa,-2.0989779431384497,Anomalia negativa
ripple-usd,rlusd,Ripple USD,0.873462,1319886336,50,72456705,-0.15128,0.87513,0.871073,Normale,0.2643070974996699,Normale
